"DonorName","RequestYear","highP20","commitment_value","disbursement_value","commitment_value_total","disbursement_value_total","share_commitments"
"France",2017,"other countries",6414.4800958354,6414.4800958354,10283.6863814341,10283.6863814341,0.62375298680986
"France",2017,"high P20 headcounts",3766.4056418447,3766.4056418447,10283.6863814341,10283.6863814341,0.366250535279301
"Germany",2001,"regional aid",431.371271832,431.371271832,5042.3355884442,5042.3355884442,0.0855498933511283
"Germany",2001,"other countries",2817.988382107,2817.988382107,5042.3355884442,5042.3355884442,0.558865694811178
"Germany",2001,"high P20 headcounts",1792.9759345052,1792.9759345052,5042.3355884442,5042.3355884442,0.355584411837693
"Germany",2002,"regional aid",534.386058583,534.386058583,6430.7423781028,6430.7423781028,0.0830986575364343
"Germany",2002,"other countries",3530.9011695488,3530.9011695488,6430.7423781028,6430.7423781028,0.549065871705856
"Germany",2002,"high P20 headcounts",2365.455149971,2365.455149971,6430.7423781028,6430.7423781028,0.36783547075771
"Germany",2003,"regional aid",368.556199039,368.556199039,6523.9940548849,6523.9940548849,0.0564924179786829
"Germany",2003,"other countries",2835.9242374219,2835.9242374219,6523.9940548849,6523.9940548849,0.434691419637097
"Germany",2003,"high P20 headcounts",3319.513618424,3319.513618424,6523.9940548849,6523.9940548849,0.50881616238422
"Germany",2004,"regional aid",457.749996,457.749996,5871.5607555,5871.5607555,0.07796053128995
"Germany",2004,"other countries",3274.9319147,3274.9319147,5871.5607555,5871.5607555,0.557761735094423
"Germany",2004,"high P20 headcounts",2138.8788448,2138.8788448,5871.5607555,5871.5607555,0.364277733615627
"Germany",2005,"regional aid",481.479859554,481.479859554,8849.6375339675,8849.6375339675,0.0544067322199287
"Germany",2005,"other countries",5020.3303485715,5020.3303485715,8849.6375339675,8849.6375339675,0.567292200307866
"Germany",2005,"high P20 headcounts",3347.827325842,3347.827325842,8849.6375339675,8849.6375339675,0.378301067472205
"Germany",2006,"regional aid",654.340290293,654.340290293,9277.30911145,9277.30911145,0.0705312588415769
"Germany",2006,"other countries",4178.7562763935,4178.7562763935,9277.30911145,9277.30911145,0.450427621435628
"Germany",2006,"high P20 headcounts",4444.2125447635,4444.2125447635,9277.30911145,9277.30911145,0.479041119722795
"Germany",2007,"regional aid",790.498820436,790.498820436,8561.215326022,8561.215326022,0.0923348835805194
"Germany",2007,"other countries",5425.9773379,5425.9773379,8561.215326022,8561.215326022,0.63378587399941
"Germany",2007,"high P20 headcounts",2344.739167686,2344.739167686,8561.215326022,8561.215326022,0.27387924242007
"Germany",2008,"regional aid",929.62504366,929.62504366,10457.792474229,10457.792474229,0.0888930475481193
"Germany",2008,"other countries",6851.08538567652,6851.08538567652,10457.792474229,10457.792474229,0.655117741393279
"Germany",2008,"high P20 headcounts",2677.08204489245,2677.08204489245,10457.792474229,10457.792474229,0.255989211058601
"Germany",2009,"regional aid",1192.439901077,1192.439901077,8080.5812893102,8080.5812893102,0.147568579336548
"Germany",2009,"other countries",4733.2066164596,4733.2066164596,8080.5812893102,8080.5812893102,0.585750758144239
"Germany",2009,"high P20 headcounts",2154.9347717736,2154.9347717736,8080.5812893102,8080.5812893102,0.266680662519213
"Germany",2010,"regional aid",1434.21539278,1434.21539278,9949.6756322345,9949.6756322345,0.144146949688842
"Germany",2010,"other countries",6274.1703737177,6274.1703737177,9949.6756322345,9949.6756322345,0.630590443912657
"Germany",2010,"high P20 headcounts",2241.2898657368,2241.2898657368,9949.6756322345,9949.6756322345,0.225262606398501
"Germany",2011,"regional aid",1607.45557471,1607.45557471,10295.9097530026,10295.9097530026,0.156125647298066
"Germany",2011,"other countries",5722.1548892412,5722.1548892412,10295.9097530026,10295.9097530026,0.555769720842051
"Germany",2011,"high P20 headcounts",2966.2992890514,2966.2992890514,10295.9097530026,10295.9097530026,0.288104631859884
"Germany",2012,"regional aid",1606.7028443786,1606.7028443786,10779.0451660462,10779.0451660462,0.149057993507596
"Germany",2012,"other countries",5889.6377518511,5889.6377518511,10779.0451660462,10779.0451660462,0.546396982397231
"Germany",2012,"high P20 headcounts",3282.7045698165,3282.7045698165,10779.0451660462,10779.0451660462,0.304545024095173
"Germany",2013,"regional aid",2200.0393222425,2200.0393222425,11717.0377669644,11717.0377669644,0.187764123151109
"Germany",2013,"other countries",6434.0775254763,6434.0775254763,11717.0377669644,11717.0377669644,0.549121514621798
"Germany",2013,"high P20 headcounts",3082.9209192456,3082.9209192456,11717.0377669644,11717.0377669644,0.263114362227093
"Germany",2014,"regional aid",2079.9194764054,2079.9194764054,14720.3062042281,14720.3062042281,0.141295938246718
"Germany",2014,"other countries",7943.6564970186,7943.6564970186,14720.3062042281,14720.3062042281,0.539639351709746
"Germany",2014,"high P20 headcounts",4696.7302308041,4696.7302308041,14720.3062042281,14720.3062042281,0.319064710043536
"Germany",2015,"regional aid",2203.5847046386,2203.5847046386,17131.349834028,17131.349834028,0.128628784420806
"Germany",2015,"other countries",10073.5259102139,10073.5259102139,17131.349834028,17131.349834028,0.58801705690493
"Germany",2015,"high P20 headcounts",4854.2392191755,4854.2392191755,17131.349834028,17131.349834028,0.283354158674264
"Germany",2016,"regional aid",2624.75334216,2624.75334216,24167.58251857,24167.58251857,0.108606367233594
"Germany",2016,"other countries",16143.01722677,16143.01722677,24167.58251857,24167.58251857,0.6679616057736
"Germany",2016,"high P20 headcounts",5399.81194964,5399.81194964,24167.58251857,24167.58251857,0.223432026992806
"Germany",2017,"regional aid",2792.100597255,2792.100597255,24572.1733735998,24572.1733735998,0.113628556774502
"Germany",2017,"other countries",16036.9630370558,16036.9630370558,24572.1733735998,24572.1733735998,0.652647317484982
"Germany",2017,"high P20 headcounts",5743.109739289,5743.109739289,24572.1733735998,24572.1733735998,0.233724125740516
"Japan",2001,"regional aid",4.749079,4.749079,8822.9286602,8822.9286602,0.000538265601242246
"Japan",2001,"other countries",4754.1641323,4754.1641323,8822.9286602,8822.9286602,0.538841955477427
"Japan",2001,"high P20 headcounts",4064.0154489,4064.0154489,8822.9286602,8822.9286602,0.460619778921331
"Japan",2002,"regional aid",104.7116576,104.7116576,7027.7360507,7027.7360507,0.01489977097099
"Japan",2002,"other countries",3269.4655443,3269.4655443,7027.7360507,7027.7360507,0.465223155894471
"Japan",2002,"high P20 headcounts",3653.5588488,3653.5588488,7027.7360507,7027.7360507,0.519877073134539
"Japan",2003,"regional aid",145.4807682519,145.4807682519,14487.6757293725,14487.6757293725,0.010041691363712
"Japan",2003,"other countries",10093.737373167,10093.737373167,14487.6757293725,14487.6757293725,0.696711988984043
"Japan",2003,"high P20 headcounts",4248.45758795365,4248.45758795365,14487.6757293725,14487.6757293725,0.293246319652245
"Japan",2004,"regional aid",197.8172360036,197.8172360036,11599.7491234768,11599.7491234768,0.0170535788229451
"Japan",2004,"other countries",5468.0097505162,5468.0097505162,11599.7491234768,11599.7491234768,0.471390345800623
"Japan",2004,"high P20 headcounts",5933.922136957,5933.922136957,11599.7491234768,11599.7491234768,0.511556075376432
"Japan",2005,"regional aid",161.43860936318,161.43860936318,16001.5379742933,16001.5379742933,0.0100889433017335
"Japan",2005,"other countries",10994.8927375214,10994.8927375214,16001.5379742933,16001.5379742933,0.687114748293871
"Japan",2005,"high P20 headcounts",4845.20662740876,4845.20662740876,16001.5379742933,16001.5379742933,0.302796308404395
"Japan",2006,"regional aid",201.4203509305,201.4203509305,13442.0778813054,13442.0778813054,0.0149843166145187
"Japan",2006,"other countries",5481.47601966644,5481.47601966644,13442.0778813054,13442.0778813054,0.407784872849889
"Japan",2006,"high P20 headcounts",7759.1815107085,7759.1815107085,13442.0778813054,13442.0778813054,0.577230810535593
"Japan",2007,"regional aid",318.0839879064,318.0839879064,13283.882587424,13283.882587424,0.0239451068475668
"Japan",2007,"other countries",6705.3246041672,6705.3246041672,13283.882587424,13283.882587424,0.504771444646402
"Japan",2007,"high P20 headcounts",6260.4739953504,6260.4739953504,13283.882587424,13283.882587424,0.471283448506031
"Japan",2008,"regional aid",759.39472203519,759.39472203519,15875.9233892181,15875.9233892181,0.0478331057298326
"Japan",2008,"other countries",10320.5708494706,10320.5708494706,15875.9233892181,15875.9233892181,0.65007688664457
"Japan",2008,"high P20 headcounts",4795.95781771229,4795.95781771229,15875.9233892181,15875.9233892181,0.302090007625598
"Japan",2009,"regional aid",325.53496977166,325.53496977166,12479.0007940111,12479.0007940111,0.0260866214487214
"Japan",2009,"other countries",7596.80507286972,7596.80507286972,12479.0007940111,12479.0007940111,0.608767095881234
"Japan",2009,"high P20 headcounts",4556.66075136968,4556.66075136968,12479.0007940111,12479.0007940111,0.365146282670045
"Japan",2010,"regional aid",780.1568507378,780.1568507378,14283.7884161069,14283.7884161069,0.0546183426980806
"Japan",2010,"other countries",7262.49003951442,7262.49003951442,14283.7884161069,14283.7884161069,0.508442846389757
"Japan",2010,"high P20 headcounts",6241.14152585467,6241.14152585467,14283.7884161069,14283.7884161069,0.436938810912163
"Japan",2011,"regional aid",814.24147939552,814.24147939552,11862.6537412841,11862.6537412841,0.0686390665321213
"Japan",2011,"other countries",6371.31594785624,6371.31594785624,11862.6537412841,11862.6537412841,0.537090273964832
"Japan",2011,"high P20 headcounts",4677.09631403238,4677.09631403238,11862.6537412841,11862.6537412841,0.394270659503047
"Japan",2012,"regional aid",919.69584278437,919.69584278437,13173.4209739284,13173.4209739284,0.0698145033552445
"Japan",2012,"other countries",6425.44603237379,6425.44603237379,13173.4209739284,13173.4209739284,0.487758346529003
"Japan",2012,"high P20 headcounts",5828.27909877021,5828.27909877021,13173.4209739284,13173.4209739284,0.442427150115753
"Japan",2013,"regional aid",1037.08586269838,1037.08586269838,20159.2684451789,20159.2684451789,0.0514446179194761
"Japan",2013,"other countries",5661.43617377932,5661.43617377932,20159.2684451789,20159.2684451789,0.28083539783078
"Japan",2013,"high P20 headcounts",13460.7464087012,13460.7464087012,20159.2684451789,20159.2684451789,0.667719984249743
"Japan",2014,"regional aid",1199.51785656804,1199.51785656804,16262.6554926068,16262.6554926068,0.0737590399743358
"Japan",2014,"other countries",6360.4285569609,6360.4285569609,16262.6554926068,16262.6554926068,0.391106394638466
"Japan",2014,"high P20 headcounts",8702.7090790779,8702.7090790779,16262.6554926068,16262.6554926068,0.535134565387199
"Japan",2015,"regional aid",881.21014825564,881.21014825564,21682.8292246083,21682.8292246083,0.0406409209392073
"Japan",2015,"other countries",10883.4736603679,10883.4736603679,21682.8292246083,21682.8292246083,0.501939739857194
"Japan",2015,"high P20 headcounts",9918.1454159848,9918.1454159848,21682.8292246083,21682.8292246083,0.457419339203598
"Japan",2016,"regional aid",832.07530913345,832.07530913345,19452.3453206024,19452.3453206024,0.0427750636450083
"Japan",2016,"other countries",10685.793574009,10685.793574009,19452.3453206024,19452.3453206024,0.549331887640889
"Japan",2016,"high P20 headcounts",7934.47643746005,7934.47643746005,19452.3453206024,19452.3453206024,0.407893048714103
"Japan",2017,"regional aid",983.9037011244,983.9037011244,20843.5946287412,20843.5946287412,0.0472041276300633
"Japan",2017,"other countries",8674.06121857648,8674.06121857648,20843.5946287412,20843.5946287412,0.416149967079855
"Japan",2017,"high P20 headcounts",11185.6297090403,11185.6297090403,20843.5946287412,20843.5946287412,0.536645905290081
"United Kingdom",2001,"regional aid",511.22589269,511.22589269,3346.53999081406,3346.53999081406,0.152762523111413
"United Kingdom",2001,"other countries",1029.055643929,1029.055643929,3346.53999081406,3346.53999081406,0.307498385423052
"United Kingdom",2001,"high P20 headcounts",1806.25845419506,1806.25845419506,3346.53999081406,3346.53999081406,0.539739091465535
"United Kingdom",2002,"regional aid",421.421028298,421.421028298,4107.418901547,4107.418901547,0.102599963237078
"United Kingdom",2002,"other countries",1744.920479132,1744.920479132,4107.418901547,4107.418901547,0.424821651006865
"United Kingdom",2002,"high P20 headcounts",1941.077394117,1941.077394117,4107.418901547,4107.418901547,0.472578385756057
"United Kingdom",2003,"regional aid",193.135833125,193.135833125,3691.1626665344,3691.1626665344,0.0523238476797701
"United Kingdom",2003,"other countries",1191.5686027494,1191.5686027494,3691.1626665344,3691.1626665344,0.322816605605776
"United Kingdom",2003,"high P20 headcounts",2306.45823066,2306.45823066,3691.1626665344,3691.1626665344,0.624859546714454
"United Kingdom",2004,"regional aid",271.62219246,271.62219246,4815.75058241,4815.75058241,0.0564028779754763
"United Kingdom",2004,"other countries",868.12621182,868.12621182,4815.75058241,4815.75058241,0.180268100883571
